ID	 sex	CentSize	SF	IF	SP	IP	T	O	LOS	PCS	CS	SyF	STS	POS	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
116	2	374.5717212	30.64251142	23.43619585	13.05217651	22.73652472	31.60386903	12.26444855	6.886893838	7.397161572	20.63631702	18.70666215	28.30556526	18.5673271	-0.05177	-0.01797	-0.02297	-0.01875	-0.00351	-0.01443	0.00724	0.01883	0.00669	-0.01337
117	1	416.8810617	32.17273573	23.94502504	15.65256032	22.80689243	31.06587314	9.124596787	7.207788396	6.561427543	19.78437904	20.57605793	30.98979422	17.4973921	-0.02863	0.01254	-0.00637	0.01989	0.01797	-0.01067	-0.00865	0.00072	-0.01426	-0.00041
118	2	391.5290153	32.01639399	23.53340495	14.7187356	22.71398138	30.42519123	11.91337674	6.693809809	7.8763633	19.48524057	20.21739027	29.33642605	17.85390654	-0.02701	-0.00354	-0.008	0.00292	0.021	-0.007	0.00041	0.00305	0.01416	-0.02628
119	2	393.707767	28.9925016	22.60410844	17.97915014	24.6415801	32.24459204	11.38567785	7.318232923	7.861373674	18.33788682	17.69832275	30.22529524	17.97335413	0.01279	0.02703	0.03715	-0.01043	-0.01222	0.00989	0.01541	-0.01056	0.01596	-0.00908
120	1	436.4225374	31.69255014	24.23523159	13.33619794	22.17514396	30.26514969	11.22780267	5.839190061	6.592319753	19.05723391	22.52640925	29.52726886	19.89418272	-0.0153	0.03164	-0.02534	-0.00384	0.01838	-0.01684	-0.00323	-0.00962	-0.00389	-0.00615
121	1	406.2710146	31.26698203	23.32905915	17.23891697	23.47426513	30.76306351	9.671559467	7.044605518	7.916104548	20.66731975	19.3524649	31.04201417	17.21048849	-0.02989	0.00037	0.03229	0.05116	0.0107	0.01291	-0.0332	-0.00282	-0.01071	-0.01587
122	2	389.9882661	30.02840895	22.69732761	15.82770378	24.21328264	32.51433543	11.21019743	7.617723466	6.653340188	19.27547772	18.58000868	27.72845376	16.06675043	-0.01871	-0.00181	0.01066	-0.06217	-0.00865	0.00648	0.01113	-0.00701	0.00514	-0.01106
123	2	381.7479115	31.3257327	23.97449657	14.3249425	22.07454389	31.19024622	11.08437861	6.432783796	6.104114526	19.12304123	20.22699576	28.7490828	17.15599189	-0.02521	-0.00342	-0.01808	-0.0158	0.00243	-0.01397	-0.00981	0.02645	-0.00265	-0.01174
124	2	381.8585817	29.33653728	23.87228073	14.95391639	22.41615308	29.94282231	8.181063882	7.556906109	7.389002291	20.46932715	19.78443067	29.38312026	16.44479867	0.00723	-0.00059	-0.02721	-0.01659	-0.02777	-0.02817	-0.01035	0.00526	0.00697	0.02168
125	1	404.8187771	31.75130961	23.46580536	13.8001242	22.5014871	30.24212189	9.161280782	7.383382433	6.235888258	19.86053509	19.23637175	29.62060567	17.7117279	0.04408	-0.01233	-0.02236	-0.00226	-0.00783	-0.01098	-0.01274	-0.00823	0.01875	0.01442
126	1	407.854382	29.17411211	21.94142174	15.22683988	25.69469667	31.37978163	11.8956787	6.434361896	6.268341359	19.58798512	19.0470057	30.31715121	18.66009184	-0.00578	-0.02513	0.01701	-0.00646	0.00179	0.01545	0.03461	-0.00402	-0.04152	0.01524
